State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
CA,2,2,1,20,14,2,1,0.7,0,1,3,2,1,20,2.580315091,12463,611100,325,866,106,11108,58,124753,2726,5238,2001,1440,1845,2406,Chino,33.9836,-117.6654,91008,1188.1,4
CA,2,2,1,40,40,4,4,0.333333333,0,1,4,1,1,40,3.317608584,12228,797000,383,1454,55,10172,164,158144,2983,6172,2575,2177,2372,2760,Chino Hills,33.9508,-117.7254,78223,676.4,1
CA,2,2,1,30,30,2,2,0.714285714,0,1,3,1,1,30,2.925407491,1641,307500,12,28,0,1601,0,88142,1829,2465,1034,496,922,1363,Chowchilla,37.1095,-120.2349,18772,653.8,7
CA,2,2,1,25,25,1,1,0.166666667,0,1,2,1,1,25,2.533206398,5743,834800,179,755,9,4772,28,169141,3245,6215,1970,1574,2173,2682,Claremont,34.1259,-117.7153,36891,1068.2,1
CA,2,2,1,27.5,25,1.33,1,0.555555556,0,1,4,3,1,27.5,2.627423784,5913,334800,41,54,0,5818,0,70855,1776,4183,983,788,845,1297,Coachella,33.6905,-116.143,42279,545.6,7
CA,2,2,1,37.5,40,1,1,0.625,0,1,1,2,1,37.5,1.795912905,5708,388300,73,131,0,5462,42,93216,1779,2904,1462,1225,1512,1832,Colton,34.0538,-117.3255,53959,1333,4
CA,3,2,0,25,25,1.5,1,0.714285714,0,1,1,2,1,25,2.19175406,1129,589500,0,105,0,1024,0,116595,2295,3730,1310,1135,1483,1537,Commerce,33.9963,-118.1519,12253,724,4
CA,3,2,1,30,30,2,1,0.5,0,1,1,2,1,30,2.19175406,10175,499100,286,412,74,9355,48,92548,2266,4326,1464,1170,1561,1870,Compton,33.893,-118.2274,94822,3651,4
CA,2,2,1,10,10,2,2,0.454545455,0,1,2,1,0,10,2.057795018,1536,224200,36,65,0,1435,0,70761,1350,1732,994,705,909,1229,Corcoran,36.0841,-119.5613,22808,1180.8,7
CA,2,2,0,35,35,2,1,0.666666667,0,0,1,1,1,35,1.625432516,825,262600,122,0,0,703,0,60042,1449,1715,1060,590,1030,1221,Corning,39.9283,-122.1819,8196,892.1,3
